st_gene_id	diffexp_log2fc_WT_48H-vs-MYC2_48H	diffexp_deseq2_pvalue_WT_48H-vs-MYC2_48H
TraesCS4A02G244000	-0.073786357	0.719068752
TraesCS4D02G195700	0.79225082	0.028116543
TraesCS7A02G146400	-0.29123481	0.530055572
TraesCS6D02G121800	-0.029068123	0.856394694
TraesCS2A02G320300	-0.054663977	0.719571283
TraesCS4A02G100000	-0.3486553	0.418663392
TraesCS4B02G174900	0.003469343	0.985482864
TraesCS6B02G330200	0.409966166	0.007224118
TraesCS3D02G041300	0.282084504	0.291032775
TraesCS3D02G537600	0.017554921	0.966341067
TraesCS7A02G122000	0.838245591	0.751026219
TraesCS5A02G194300	-0.208256124	0.405566567
TraesCS1D02G148100	-0.009634922	0.94162399
TraesCS4A02G087300	-0.043508671	0.890558594
TraesCS1A02G062100	-0.094534895	0.348075476
TraesCS6A02G135500	0.114104742	0.778224726
TraesCS3D02G406300	NA	NA
TraesCS6B02G288000	NA	NA
TraesCS2B02G191500	1.077494433	0.375272992
TraesCS2D02G114400	NA	NA
TraesCS5D02G014600	0.204639025	0.87845712
TraesCS1D02G015800	-0.184049847	0.148260924
TraesCS7D02G049800	0.115680127	0.374712111
TraesCS2D02G026000	-1.6486764	0.05184803
TraesCS1A02G261600	0.511400379	0.384399781
TraesCS2A02G080700	-0.023049345	0.816944618
TraesCS4D02G051900	-0.130534297	0.332916725
TraesCS1B02G109800	-0.607156248	0.185716633
TraesCS2A02G485500	0.230453085	0.269044663
TraesCS1B02G301200	0.196504292	0.715201623
TraesCS1B02G396700	-0.93971239	0.722584955
TraesCS6B02G040000	-0.054430384	0.679211356
TraesCS2B02G120900	-1.017829122	0.803021211
TraesCS7B02G430900	0.14864633	0.5018556
TraesCS4B02G318700	0.123439028	0.363439913
TraesCS3A02G397800	-0.011144098	0.886071737
TraesCS5A02G229600	0.078507395	0.909634917
TraesCS1A02G257600	NA	NA
TraesCS3B02G043200	NA	NA
TraesCS3B02G542400	0.085921581	0.931448746
TraesCS5B02G542100	NA	NA
TraesCS3D02G370300	-1.017829122	0.803021211
TraesCS2D02G509000	-2.911063852	0.206094212
TraesCS6B02G164300	0.021236531	0.960673113
TraesCS4A02G283600	0.088941883	0.558480599
TraesCS7D02G219300	0.680330701	0.667407488
TraesCS6B02G272100	-0.044805648	0.896811887
TraesCS7D02G435800	0.245580636	0.197315199
TraesCS3A02G130400	0.90572423	0.824340734
TraesCS2D02G447400	-0.126425071	0.161626718
TraesCS7A02G159700	0.113509114	0.484125178
TraesCS3A02G129200	-0.095813251	0.574715052
TraesCS2D02G171500	0.301163146	0.052218286
TraesCS5D02G157100	-0.331319104	0.633395036
TraesCS1A02G115100	-0.174413837	0.052297675
TraesCS2B02G516800	0.90572423	0.824340734
TraesCS7D02G481000	0.529134057	0.443393818
TraesCS5B02G108800	-0.187605788	0.377458406
TraesCS3D02G177900	-0.192049927	0.78656075
TraesCS7D02G363300	NA	NA
TraesCS5D02G444500	-0.089358006	0.555713875
TraesCS6B02G268200	-0.159407269	0.143621854
TraesCS5D02G327500	-0.222270497	0.215036988
TraesCS2B02G303600	-0.324879885	0.817085927
TraesCS5A02G255900	NA	NA
TraesCS7A02G001400	-1.017829122	0.803021211
TraesCS3B02G335700	-0.13004768	0.271268624
TraesCS4A02G379800	NA	NA
TraesCS4B02G035800	0.47588162	0.193384618
TraesCS4A02G499200	-0.037915789	0.918448328
TraesCS7A02G295500	-0.099327714	0.224752224
TraesCS4D02G336700	NA	NA
TraesCS1B02G214900	NA	NA
TraesCS1D02G214600	0.234148173	0.373704683
TraesCS2D02G533600	NA	NA
TraesCS6A02G283700	-0.139885511	0.239376939
TraesCS5A02G172600	-0.123868742	0.418447308
TraesCS4D02G030000	-0.511434411	0.002410185
TraesCSU02G225000	-0.056044324	0.986224416
TraesCS1D02G306000	-0.311094658	0.500390216
TraesCS1A02G186600	-1.078554025	0.382649786
TraesCS5A02G133800	-0.637347584	0.750243588
TraesCS6B02G068700	0.059070791	0.75653517
TraesCS4B02G014900	0.220203104	0.633572241
TraesCS6B02G366800	-0.17378093	0.059525786
TraesCS5B02G484200	NA	NA
TraesCS2D02G401800	-0.000283825	0.998342384
TraesCS3A02G212900	-0.053535575	0.799690104
TraesCSU02G038000	-0.255718974	0.602351946
TraesCS4A02G064100	-1.523283178	0.522203387
TraesCS2D02G008200	0.002866434	0.97953757
TraesCS5D02G405300	-0.247885895	0.097111468
TraesCS5D02G524000	-0.052174354	0.959700713
TraesCS5B02G106100	-0.000457647	0.997958678
TraesCS4A02G002800	-0.089063127	0.624695857
TraesCS3A02G168300	0.320485227	0.73379157
TraesCS7D02G251300	0.137107726	0.167162011
TraesCS4A02G167200	-0.090105367	0.628657584
TraesCS7D02G184700	-0.138569477	0.40039331
TraesCS5A02G443500	-0.20437418	0.429700948
TraesCS7B02G209700	-0.161537171	0.139480794
TraesCS4B02G302100	-0.056044352	0.986251652
TraesCS6B02G392700	0.460853628	0.555023112
TraesCS6A02G247200	0.326172358	0.053350191
TraesCS5A02G089200	0.058310122	0.482396499
TraesCS3A02G245100	0.90572423	0.824340734
TraesCS1B02G098600	-0.064490153	0.6773414
TraesCS7D02G541800	1.845997086	0.405204374
TraesCS7B02G297700	1.000037458	0.003234395
TraesCS2D02G198200	0.130774947	0.235209247
TraesCS1D02G121400	-0.322845	0.401529879
TraesCS7B02G229400	0.123139509	0.441706226
